"Country or Area","Year","Value"
"France","2006","63686.8238651919"
"France","2005","64398.7896259777"
"France","2004","65498.4175775965"
"France","2003","67019.7679531188"
"France","2002","68114.7340934236"
"France","2001","69809.4124465693"
"France","2000","69961.5676933781"
"France","1999","69615.7998998395"
"France","1998","69584.6340867333"
"France","1997","69486.8408088937"
"France","1996","70581.7679123406"
"France","1995","71387.7929332653"
"France","1994","70777.2628172302"
"France","1993","70705.4043665737"
"France","1992","70315.5761654334"
"France","1991","70482.392921258"
"France","1990","69801.6873472151"
"Germany","2016","54402.6109690537"
"Germany","2015","55602.1890823183"
"Germany","2014","55805.7526699807"
"Germany","2013","56968.4439821619"
"Germany","2012","57634.0864653625"
"Germany","2011","57017.8090722348"
"Germany","2010","58143.8503076086"
"Germany","2009","58979.9573250967"
"Germany","2008","61234.7357420097"
"Germany","2007","62153.5170092056"
"Germany","2006","64461.6684875366"
"Germany","2005","68356.630489883"
"Germany","2004","71620.8554515734"
"Germany","2003","76663.6196107525"
"Germany","2002","80051.3123667786"
"Germany","2001","84027.7768805099"
"Germany","2000","87678.362500397"
"Germany","1999","92006.9130138227"
"Germany","1998","92654.605899953"
"Germany","1997","97943.4787805923"
"Germany","1996","102301.194741889"
"Germany","1995","104930.856941317"
"Germany","1994","107265.15235701"
"Germany","1993","111212.580388516"
"Germany","1992","110657.414569562"
"Germany","1991","114326.495532666"
"Germany","1990","120226.697069416"
"Greece","2016","9679.14736301564"
"Greece","2015","10044.5028806874"
"Greece","2014","10207.3126778053"
"Greece","2013","10416.7788021933"
"Greece","2012","10626.5291563814"
"Greece","2011","10824.8828903805"
"Greece","2010","11003.4891799018"
"Greece","2009","10777.4865975972"
"Greece","2008","11122.625018671"
"Greece","2007","11175.3486241656"
"Greece","2006","11326.8716142432"
"Greece","2005","11239.0686520249"
"Greece","2004","11157.7301779436"
"Greece","2003","11120.6863209427"
"Greece","2002","11025.403296704"
"Greece","2001","10938.9417717662"
"Greece","2000","11629.7546249568"
"Greece","1999","11634.8768733216"
"Greece","1998","11640.7832708208"
"Greece","1997","11419.8630925471"
"Greece","1996","11471.9872344079"
"Greece","1995","11303.6183867144"
"Greece","1994","11149.0662574015"
"Greece","1993","11039.0967886038"
"Greece","1992","11014.3413899825"
"Greece","1991","10919.6107774262"
"Greece","1990","10906.8023255441"
"Hungary","2016","7531.89296845738"
"Hungary","2015","7533.50905440062"
"Hungary","2014","7557.64399567598"
"Hungary","2013","7675.30819807598"
"Hungary","2012","7901.48592588242"
"Hungary","2011","7895.94057154119"
"Hungary","2010","8017.77310758506"
"Hungary","2009","8035.8772452609"
"Hungary","2008","8055.3189043213"
"Hungary","2007","8172.77112428599"
"Hungary","2006","8211.11489075299"
"Hungary","2005","8374.88943911206"
"Hungary","2004","8550.1283961607"
"Hungary","2003","9043.79540675291"
"Hungary","2002","8808.2557551048"
"Hungary","2001","8865.62806667625"
"Hungary","2000","8916.21347512263"
"Hungary","1999","8784.06752728774"
"Hungary","1998","8718.91223238305"
"Hungary","1997","8810.5539963266"
"Hungary","1996","8945.14948252435"
"Hungary","1995","8807.27876175073"
"Hungary","1994","9163.75716033076"
"Hungary","1993","9645.65999276572"
"Hungary","1992","10168.3582699239"
"Hungary","1991","11445.1419814819"
"Hungary","1990","11740.3299673445"
"Iceland","2016","594.550493495217"
"Iceland","2015","599.006805312851"
"Iceland","2014","599.165322697332"
"Iceland","2013","585.945150725423"
"Iceland","2012","580.246164098005"
"Iceland","2011","611.071332919203"
"Iceland","2010","636.052093804622"
"Iceland","2009","632.839777390629"
"Iceland","2008","639.149017272768"
"Iceland","2007","647.902280763674"
"Iceland","2006","645.501237054601"
"Iceland","2005","602.532441215995"
"Iceland","2004","611.496972966279"
"Iceland","2003","607.626967834478"
"Iceland","2002","610.883294822771"
"Iceland","2001","613.345180410297"
"Iceland","2000","601.723241490895"
"Iceland","1999","606.966392186949"
"Iceland","1998","601.14355648849"
"Iceland","1997","587.08211275205"
"Iceland","1996","586.509368277295"
"Iceland","1995","576.423757180733"
"Iceland","1994","576.566836990209"
"Iceland","1993","563.284989731864"
"Iceland","1992","550.208011346166"
"Iceland","1991","538.835132885788"
"Iceland","1990","542.749717278743"
"Ireland","2016","13705.367510218"
"Ireland","2015","13323.0023881688"
"Ireland","2014","12943.406743625"
"Ireland","2013","12640.7357809189"
"Ireland","2012","12309.4543823844"
"Ireland","2011","12012.2266682475"
"Ireland","2010","12048.9384811322"
"Ireland","2009","12299.3289174477"
"Ireland","2008","12675.6492039216"
"Ireland","2007","12882.6072201307"
"Ireland","2006","13540.9123586725"
"Ireland","2005","13601.8972437778"
"Ireland","2004","13928.8468813645"
"Ireland","2003","14896.9986045969"
"Ireland","2002","14300.9157347286"
"Ireland","2001","14405.1841504825"
"Ireland","2000","14386.8451879424"
"Ireland","1999","14989.2005575548"
"Ireland","1998","15497.525064349"
"Ireland","1997","15273.5256594627"
"Ireland","1996","15309.9488576684"
"Ireland","1995","15076.9263227783"
"Ireland","1994","15070.9681780726"
"Ireland","1993","15157.6662129383"
"Ireland","1992","15150.850567598"
"Ireland","1991","15041.9194806335"
"Ireland","1990","14867.7957720538"
"Italy","2016","42869.645664891"
"Italy","2015","43133.2643103543"
"Italy","2014","43131.5920186267"
"Italy","2013","44045.7190341073"
"Italy","2012","45724.1501606373"
"Italy","2011","45123.1660806258"
"Italy","2010","46769.0622712305"
"Italy","2009","47142.8554128887"
"Italy","2008","47116.9894311462"
"Italy","2007","47476.29617134"
"Italy","2006","46827.3598189917"
"Italy","2005","48206.0523641772"
"Italy","2004","47737.6334009789"
"Italy","2003","49371.1886352172"
"Italy","2002","49184.0913867256"
"Italy","2001","50834.715966634"
"Italy","2000","50736.5754441955"
"Italy","1999","50818.0068336601"
"Italy","1998","50853.4887404758"
"Italy","1997","51338.7280164378"
"Italy","1996","50806.0897723994"
"Italy","1995","50310.7470356533"
"Italy","1994","49686.0045337984"
"Italy","1993","49283.3019123796"
"Italy","1992","48966.1455613729"
"Italy","1991","49118.6279392657"
"Italy","1990","48235.8769311883"
"Japan","2016","30792.2750208445"
"Japan","2015","31140.8796435788"
"Japan","2014","31879.0665340579"
"Japan","2013","32514.4404323997"
"Japan","2012","32849.9429437468"
"Japan","2011","33688.5344849294"
"Japan","2010","34735.126886867"
"Japan","2009","34126.9593081772"
"Japan","2008","35034.670013291"
"Japan","2007","35362.9824622614"
"Japan","2006","35058.6342241408"
"Japan","2005","35551.2032010491"
"Japan","2004","35749.8266241017"
"Japan","2003","34677.8591255978"
"Japan","2002","36131.3273432557"
"Japan","2001","36741.4664096203"
"Japan","2000","37778.530384818"
"Japan","1999","37795.36093727"
"Japan","1998","37948.9685065785"
"Japan","1997","39805.355908137"
"Japan","1996","40549.3630500428"
"Japan","1995","41759.4435564047"
"Japan","1994","43250.533956486"
"Japan","1993","39863.0529137468"
"Japan","1992","43955.3445028965"
"Japan","1991","43113.7662058307"
"Japan","1990","44337.52514256"
"Latvia","2016","1903.77753096427"
"Latvia","2015","1871.18328723778"
"Latvia","2014","1956.05198241077"
"Latvia","2013","1885.99387996948"
"Latvia","2012","1849.38137013656"
"Latvia","2011","1782.72203575063"
"Latvia","2010","1835.72344868891"
"Latvia","2009","1851.58571051394"
"Latvia","2008","1870.63821231535"
"Latvia","2007","1913.29095662498"
"Latvia","2006","1856.68773792396"
"Latvia","2005","1879.94790317798"
"Latvia","2004","1822.69246365186"
"Latvia","2003","1847.2612530313"
"Latvia","2002","1924.8170833063"
"Latvia","2001","1938.59142448569"
"Latvia","2000","1849.35500540098"
"Latvia","1999","1806.97672678954"
"Latvia","1998","1937.57890734314"
"Latvia","1997","2023.09716745878"
"Latvia","1996","2050.84758132976"
"Latvia","1995","2088.04961112052"
"Latvia","1994","2104.1116475983"
"Latvia","1993","2274.904628198"
"Latvia","1992","2996.22986908642"
"Latvia","1991","3484.49810643121"
"Latvia","1990","3538.96975511995"
"Liechtenstein","2016","19.4106428094005"
"Liechtenstein","2015","19.386058425805"
"Liechtenstein","2014","19.707083977601"
"Liechtenstein","2013","19.7367152117"
"Liechtenstein","2012","20.606411802046"
"Liechtenstein","2011","20.2009073048392"
"Liechtenstein","2010","19.7715173602033"
"Liechtenstein","2009","20.2942435038695"
"Liechtenstein","2008","20.5786099229475"
"Liechtenstein","2007","20.2847399647993"
"Liechtenstein","2006","19.8552180481615"
"Liechtenstein","2005","19.2236264157092"
"Liechtenstein","2004","18.6016796729512"
"Liechtenstein","2003","18.5310735881825"
"Liechtenstein","2002","18.346002547089"
"Liechtenstein","2001","18.0331331333818"
"Liechtenstein","2000","17.3585788366788"
"Liechtenstein","1999","17.5887874757337"
"Liechtenstein","1998","18.2099097823225"
"Liechtenstein","1997","18.3844166360885"
"Liechtenstein","1996","18.6892398403313"
"Liechtenstein","1995","18.2410367973047"
"Liechtenstein","1994","18.3337607834507"
"Liechtenstein","1993","18.1011660929903"
"Liechtenstein","1992","18.923497209931"
"Liechtenstein","1991","19.3024626429308"
"Liechtenstein","1990","19.4245152302287"
"Lithuania","2016","3278.69811406512"
"Lithuania","2015","3381.48545003367"
"Lithuania","2014","3437.69651964376"
"Lithuania","2013","3438.42099223883"
"Lithuania","2012","3511.62027106272"
"Lithuania","2011","3502.80959744999"
"Lithuania","2010","3673.16515802278"
"Lithuania","2009","3704.67632249366"
"Lithuania","2008","3809.90427158489"
"Lithuania","2007","3871.6594531236"
"Lithuania","2006","3909.12051181487"
"Lithuania","2005","3910.23881247368"
